city,link,video_name,lat,lon,confidence_level,confidence_spread_m,street_names,status,source,city_lat,city_lon,result_json,candidates
London,slTbgnXsBik,London1_slTbgnXsBik,,,,,,osm_env_not_configured,monocular_osm_localization,51.5074456,-0.1277653,,
Ulm,Qh1n6VVKgn0,Ulm1_Qh1n6VVKgn0,48.34802,9.979035,low,3496.4,Wasserburger Straße; Wiblinger Ring,ok,monocular_osm_localization,,,analysis_results\Ulm1_Qh1n6VVKgn0\osm_localization\local-0b254db2aee2-ulm1-qh1n6vvkgn0-ulm-germany\result.json,"[{""rank"": 1, ""latitude"": 48.34802, ""longitude"": 9.979035, ""street_names"": [""Wasserburger Straße"", ""Wiblinger Ring""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=48.348020,9.979035""}, {""rank"": 2, ""latitude"": 48.400756, ""longitude"": 9.987537, ""street_names"": [""Wengengasse"", ""Olgastraße"", ""Olgaplatz""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=48.400756,9.987537""}, {""rank"": 3, ""latitude"": 48.409594, ""longitude"": 9.968673, ""street_names"": [""Stifterweg"", ""Mähringer Weg""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=48.409594,9.968673""}, {""rank"": 4, ""latitude"": 48.408033, ""longitude"": 9.981702, ""street_names"": [""Kernerstraße""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=48.408033,9.981702""}, {""rank"": 5, ""latitude"": 48.391337, ""longitude"": 9.978923, ""street_names"": [""Zinglerstraße"", ""Furttenbachstraße"", ""Bismarckring""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=48.391337,9.978923""}]"
