id,name,city,video,time_of_day,start_time,end_time,downloaded,finished
208,Corfu,Corfu,f7bPg5UTOFs,0,0,890,,
209,Bilbao,Bilbao,k4SNj4eyLrk,0,0,3570,,
210,Tallinn,Tallinn,6tDaEas8C4E,0,0,2342,,
211,Ajman,Ajman,y5M4mX4oVlo,0,0,2912,,
212,Vilnius,Vilnius,TqLWALg_Ko8,0,0,3464,,
218,Białystok,Białystok,OGiX9uiA9lA,0,78,748,,
222,Kaunas,Kaunas,mVg6wRRytNo,0,0,2753,,
223,Chișinău,Chișinău,19rgXCNoKPM,0,10,1763,,
225,Bender,Bender,Fa9nuJFf3l0,0,17,744,,
231,Aarhus,Aarhus,FXqkK18qZc8,0,0,729,,
234,Tel Aviv,Tel Aviv,Ips0sR23vdk,0,6,2575,,
236,Aleppo,Aleppo,cq1rEXREmvw,0,2,722,,
242,Prizren,Prizren,WkBxHIikVWU,0,22,964,,
243,Pristina,Pristina,cvaQdOWdmio,0,50,2340,,
246,Brussels,Brussels,T91xv0KO6T0,0,19,1120,,
247,Fes,Fes,-2Aow7NXjR4,1,23,3218,,
248,Luzern,Luzern,PiisukCaTkQ,1,85,1276,,
249,Playa del Carmen,Playa del Carmen,kKSaSxsPqys,0,80,3913,,
250,Palenque,Palenque,HGrN0WDChw4,0,90,3458,,
252,Denpasar,Denpasar,cFI5ZcqGIvM,0,17,2547,,
253,Phuket Town,Phuket Town,Eiee9FfbjYA,0,20,4196,,
254,Balneário Camboriú,Balneário Camboriú,xEnN-LERkVE,0,19,4471,,
255,Riga,Riga,BJbHMgiyIFY,0,3,2071,,
256,Tartu,Tartu,hdCDu5dKFB4,0,0,1970,,
257,Sarajevo,Sarajevo,fHVBMP2Ul14,0,0,1168,,
262,Santo Domingo,Santo Domingo,J7ONuy3XSd4,0,0,2782,,
263,Valencia,Valencia,G7wQRZ3nopk,0,0,2772,,
264,Korçë,Korçë,waRzDmTRpEo,1,0,3810,,
265,Łódź,Łódź,5k3LuoGhMRA,0,94,1885,,
266,Liepaja,Liepaja,Scquy5bjQJw,0,90,1402,,
267,Szczecin,Szczecin,o1DWTDFKCsA,0,90,2900,,
268,Hama,Hama,4xUxRv8ZAl4,0,2,708,,
269,Tartus,Tartus,aGuIh68N2l0,0,4,654,,
270,Havana,Havana,vCywf9saDlY,0,0,3202,,
271,Yerevan,Yerevan,kHWh0KgQqAc,0,0,1560,,
272,Gyumri,Gyumri,ROpZcgEsI7A,0,0,1283,,
273,Caracas,Caracas,h5foQ470048,0,0,3688,,
275,Panama City,Panama City,38bWKtCoF0k,0,0,1384,,
