city,state,time,speed
Kursk,,3.58,1.15
Gweru,,3.54,0.62
San Francisco,CA,3.53,1.44
Yuzhno-Sakhalinsk,,3.5,1.51
Bissau,,3.48,1.62
Dubai,,3.48,1.46
Bishoftu,,3.47,1.26
Mysore,KA,3.45,1.47
Paola,,3.42,2.11
Santa Cruz de la Sierra,,3.41,1.62
Georgetown,,3.4,1.13
Kigali,,3.4,1.21
Quito,,3.39,1.85
Janjanbureh,,3.38,1.63
Qostanai,,3.37,1.25
Jalal-Abad,,3.36,2.12
Gelendzhik,,3.35,1.75
Krasnodar,,3.35,1.74
Kolhapur,MH,3.35,1.68
Ijevan,,3.33,1.49
Aguadilla,,3.33,1.5
Tegucigalpa,,3.33,1.77
Lutsk,,3.3,1.42
Mbabane,,3.29,1.2
Goodlands,,3.28,0.89
St Paul's Bay,,3.28,1.84
Windhoek,,3.27,1.4
Port Gentil,,3.26,1.1
Gomel,,3.25,1.23
Porto,,3.25,0.83
Manzini,,3.23,1.03
Pune,MH,3.22,1.81
Montevideo,,3.22,2.26
Moyamba Junction,,3.21,1.34
Hamilton,,3.21,0.67
Bsharri,,3.19,0.35
Malé,,3.18,1.22
Swakopmund,,3.17,1.99
San José de Chiquitos,,3.15,2.15
Minas,,3.15,1.55
Amsterdam,,3.15,2.01
Vladivostok,,3.14,1.73
Bridgetown,,3.14,1.52
Khartoum,,3.13,2.37
Banha,,3.12,1.33
Ba,,3.12,0.77
Agadir,,3.11,1.56
Dibrugarh,AS,3.11,1.04
Princes Town,,3.1,0.91
Hosanna,,3.1,0.67
Tehran,,3.1,1.37
Novopolotsk,,3.09,1.2
Frankfurt,,3.09,1.31
Ipiales,,3.08,1.32
Holetown,,3.07,1.55
London,,3.07,2
San Diego,CA,3.07,1.13
Punta del Este,,3.07,1.5
Mandeville,,3.07,1.03
Barranquilla,,3.06,1.76
Macapá,,3.06,2.02
Kumba,,3.05,1.83
Ocho Rios,,3.04,0.81
Essaouira,,3.04,0.59
Montreal,QC,3.04,1.45
Jerusalem,,3.04,1.38
Sochi,,3.04,1.32
Balneário Camboriú,,3.04,1.77
Sarajevo,,3.04,0.88
Kremenchuk,,3.04,1.57
Luhansk,,3.04,1.17
Chuy,,3.04,0.93
Fergana,,3.03,1.64
Labinsk,,3.03,1.64
Huancayo,,3.03,1.33
Stavropol,,3.03,1.18
Kochi,KL,3.01,1.42
El Madania,,3,1.83
Tarfaya,,3,2.09
Belgrade,,3,0.8
Kottayam,KL,3,3.62
Cincinnati,OH,3,1.09
Havana,,3,1.63
Skopje,,2.99,1.5
Rome,,2.99,1.46
Andorra la Vella,,2.98,1.35
Faro,,2.98,1.64
Bengaluru,KA,2.97,1.13
Astana,,2.97,1.56
Astrakhan,,2.95,1.06
Fes,,2.95,1.49
Kingston,,2.95,1.64
Vreed en Hoop,,2.94,1.11
Saint Petersburg,,2.94,1.42
Eldoret,,2.93,0.99
Prague,,2.93,1.05
Bila Tserkva,,2.92,1.42
Johannesburg,,2.92,1.09
Zhytomyr,,2.92,0.96
Lankaran,,2.91,1.82
Savannah,GA,2.88,1.14
Ariana,,2.88,1.28
Lucena,,2.88,1.95
Novosibirsk,,2.88,1.25
Jerada,,2.87,1.39
Kyiv,,2.85,1.29
Hargeisa,,2.85,0.68
Ronda,,2.85,1.18
Santo Domingo,,2.84,1.45
George Town,,2.84,1.06
Samarkand,,2.84,1.56
Panningen,,2.83,2.61
Chita,,2.83,1.74
Quetzaltenango,,2.83,3.25
Linstead,,2.83,1.39
Philipsburg,,2.82,0.89
Arkhangelsk,,2.81,1.23
Poltava,,2.8,0.84
Oiapoque,,2.79,1.93
Quatre Bornes,,2.79,1.74
Bamako,,2.78,1.69
Rivne,,2.78,1.28
Coimbatore,TN,2.78,1.18
Eindhoven,,2.78,2.03
Zurich,ZH,2.77,1.03
Zaporizhzhia,,2.76,1.04
Santiago,,2.76,0.89
Kalamata,,2.75,1.05
Copenhagen,,2.75,1.46
Meru,,2.75,2.02
Ouidah,,2.75,1.21
Chernihiv,,2.74,1.38
Port Louis,,2.74,1.46
Monze,,2.73,1.03
Antalya,,2.73,1.06
Omdurman,,2.73,1.98
Salekhard,,2.72,1.26
Lipetsk,,2.7,2.05
Siena,,2.69,0.84
Huacho,,2.68,1.58
St. David's,,2.67,1.4
Tétouan,,2.67,1.1
Owia,,1.33,1.01
Tiwi,,2.67,1.07
Sur,,2.67,1.56
Tiksi,,2.67,1.72
Stockton,CA,2.67,2.03
Damara,,2.67,1.83
Bo,,2.66,1.77
Kovel,,2.66,1.05
Dubreka,,2.66,1.16
Vienna,,2.66,1.53
Harare,,2.66,1.37
Badagry,,2.65,1.68
Pathanamthitta,KL,2.64,1.37
Shaki,,2.64,2.12
Cherkasy,,2.63,1.03
Abeokuta,,2.63,0.68
Bulawayo,,2.62,1.21
Coimbra,,2.62,1.22
Nadi,,2.62,1.19
Sonsonate,,2.6,1.08
Kingstown,,2.59,1.6
Basseterre,,2.58,1.36
Oruro,,2.58,1.25
Prizren,,2.58,1.9
Yekaterinburg,,2.58,1.41
Istanbul,,2.58,0.92
Gan,,2.58,0.43
Ajman,,2.56,1.5
Caranavi,,2.56,0.92
Aleppo,,2.55,1.16
Dhaka,,2.55,1.17
Palenque,,2.54,1.52
Corfu,,2.54,1.4
Limbe,,2.54,1.28
Tartus,,2.54,1.26
N'Djamena,,2.52,1.52
Port Harcourt,,2.52,1.34
Omsk,,2.52,1.99
Nazaré,,2.51,1.06
San José,,2.51,1.08
Brikama,,2.51,0.98
Ta Khmao,,2.51,1.27
Oran,,2.5,1.81
Asaba,,2.5,1.89
Mitunguu,,2.5,2.17
Sanaa,,2.5,1.83
Babonneau,,2.49,2.04
Gyumri,,2.49,1.4
Castries,,2.49,1.72
Lilongwe,,2.48,1.49
Tyumen,,2.48,1.5
Makeni,,2.47,1.61
Alasia,,2.47,1.11
Toamasina,,2.46,1.71
Ibadan,,2.46,1.48
Korosten,,2.44,1.07
Kathwana,,2.44,2.94
Perm,,2.44,1.39
Grenville,,2.43,1.47
Sarny,,2.43,1.42
Cochabamba,,2.42,0.92
Maseru,,2.42,1.55
Petit Valley,,2.42,2.15
Kabul,,2.42,1.04
Farafenni,,2.42,0.93
Sea view Farm,,2.42,2.11
Bangui,,2.41,1.53
Granada,,2.41,1.53
Ivano-Frankivsk,,2.41,1.66
Kirov,,2.41,1.12
Olmaliq,,2.41,1.16
Tanjeh,,2.4,1.07
Fez,,2.4,1.47
Kherson,,2.4,2.65
Skeldon,,2.4,1.51
Guaranda,,2.4,1.03
Tunis,,2.4,1.33
Melilla,,2.4,1.85
Khmelnytskyi,,2.4,1.37
Chișinău,,2.4,1.3
Port-au-Prince,,2.4,1.63
Muramvya,,2.39,2.21
Shymkent,,2.39,1.16
Dingli,,2.39,0.92
José Pedro Varela,,2.39,0.8
Saint-François,,2.38,1.18
Rustavi,,2.38,1.4
Libreville,,2.37,1.67
Ternopil,,2.37,1.21
Pristina,,2.37,1.08
Nyeri,,2.37,1.56
Lugbe,,2.36,1.2
Paro,,2.36,1.63
Giza,,2.35,1.82
Tamale,,2.34,1.58
Playa del Carmen,,2.34,1.67
Embu,,2.33,1.89
Sumy,,2.33,1.02
Brighton,,2.33,2.46
Antwerp,,2.33,2
Mutengene,,2.33,2.57
Liepaja,,2.33,0.86
Saint-Claude,,2.33,2.95
Sinkunia,,2.33,1.91
Lakhdenpokhya,,2.33,1.48
Grodno,,2.33,1.93
Saratov,,2.32,1.26
Abakaliki,,2.32,1.53
Khemisset,,2.32,1.62
Aarhus,,2.31,1.54
Valletta,,2.31,2.01
Pärnu,,2.3,1.32
Sesimbra,,2.3,1.64
Funchal,,2.3,1.62
Kramatorsk,,2.3,1.28
Kaduna,,2.3,1.55
Dnipro,,2.29,1.03
Keren,,2.29,1.42
Warsaw,,2.29,1.18
Douala,,2.27,1.78
Vagharshapat,,2.27,1.57
Kalangba,,2.27,1.91
Roseau,,2.25,2.07
Punaʻauia,,2.25,0.78
Port-Gentil,,2.25,1.62
Luzern,,2.25,0.89
Kaliningrad,,2.24,1.48
Khorira,,2.24,1.29
Yalta,,2.23,1.29
